T11_09    43    9 format
) Data from Table 11.9 p. 664-665 in
) Applied Mulivariate Statistical Analysis, 5th Edition
) by Richard A. Johnson and Dean W. Wichern, Prentice Hall, 2002
) These data were edited from file T11-9.DAT on disk from book
) Manufacturer recoded as G = General Mills -> 1, K = Kellogg -> 2,
) Q = Quaker -> 3 and group variable in last column eliminated
) Typo in case 11 variable 7 corrected
) Data on brands of cereal
) Col. 0: Brand of cereal (skipped by format)
) Col. 1: Manufacturer (1 = G, 2 = K, 3 = Q)
) Col. 2: Calories
) Col. 3: Protein
) Col. 4: Fat
) Col. 5: Sodium
) Col. 6: Fiber
) Col. 7: Carbohydrates
) Col. 8: Sugar
) Col. 9: Potassium
)"23x %f %f %f %f %f %f %f %f %f"
(23x,f2.0,f4.0,2f2.0,f4.0,f4.1,f5.1,f3.0,f4.0)

ACCheerios              1 110 2 2 180 1.5  10.5 10  70
Cheerios                1 110 6 2 290 2.0  17.0  1 105
CocoaPuffs              1 110 1 1 180 0.0  12.0 13  55
CountChocula            1 110 1 1 180 0.0  12.0 13  65
GoldenGrahams           1 110 1 1 280 0.0  15.0  9  45
HoneyNutCheerios        1 110 3 1 250 1.5  11.5 10  90
Kix                     1 110 2 1 260 0.0  21.0  3  40
LuckyCharms             1 110 2 1 180 0.0  12.0 12  55
MultiGrainCheerios      1 100 2 1 220 2.0  15.0  6  90
OatmealRaisinCrisp      1 130 3 2 170 1.5  13.5 10 120
RaisinNutBran           1 100 3 2 140 2.5  10.5  8 140
TotalCornFlakes         1 110 2 1 200 0.0  21.0  3  35
TotalRaisinBran         1 140 3 1 190 4.0  15.0 14 230
TotalWholeGrain         1 100 3 1 200 3.0  16.0  3 110
Trix                    1 110 1 1 140 0.0  13.0 12  25
Cheaties                1 100 3 1 200 3.0  17.0  3 110
WheatiesHoneyGold       1 110 2 1 200 1.0  16.0  8  60
AllBran                 2  70 4 1 260 9.0   7.0  5 320
AppleJacks              2 110 2 0 125 1.0  11.0 14  30
CornFlakes              2 100 2 0 290 1.0  21.0  2  35
CornPops                2 110 1 0  90 1.0  13.0 12  20
CracklinOatBran         2 110 3 3 140 4.0  10.0  7 160
Crispix                 2 110 2 0 220 1.0  21.0  3  30
FrootLoops              2 110 2 1 125 1.0  11.0 13  30
FrostedFlakes           2 110 1 0 200 1.0  14.0 11  25
FrostedMiniWheats       2 100 3 0   0 3.0  14.0  7 100
FruitfulBran            2 120 3 0 240 5.0  14.0 12 190
JustRightCrunchyNuggets 2 110 2 1 170 1.0  17.0  6  60
MueslixCrispyBlend      2 160 3 2 150 3.0  17.0 13 160
NutNHoneyCrunch         2 120 2 1 190 0.0  15.0  9  40
NutriGrainAlmondRaisin  2 140 3 2 220 3.0  21.0  7 130
NutriGrainWheat         2  90 3 0 170 3.0  18.0  2  90
Product19               2 100 3 0 320 1.0  20.0  3  45
RaisinBran              2 120 3 1 210 5.0  14.0 12 240
RiceKrispies            2 110 2 0 290 0.0  22.0  3  35
Smacks                  2 110 2 1  70 1.0   9.0 15  40
SpecialK                2 110 6 0 230 1.0  16.0  3  55
CapNCrunch              3 120 1 2 220 0.0  12.0 12  35
HoneyGrahamOhs          3 120 1 2 220 1.0  12.0 11  45
Life                    3 100 4 2 150 2.0  12.0  6  95
PuffedRice              3  50 1 0   0 0.0  13.0  0  15
PuffedWheat             3  50 2 0   0 1.0  10.0  0  50
QuakerOatmeal           3 100 5 2   0 2.7   1.0  1 110
